title,author,average_rating,number_of_ratings,genres
Brideshead Revisited,Evelyn Waugh,4.01,"106,150","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'British Literature', 'Novels', 'LGBT']"
"Rich Dad, Poor Dad",Robert T. Kiyosaki,4.12,"558,656","['Business', 'Finance', 'Nonfiction', 'Self Help', 'Money', 'Personal Finance', 'Personal Development']"
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.14,"190,344","['Spirituality', 'Nonfiction', 'Self Help', 'Philosophy', 'Psychology', 'Personal Development', 'Inspirational']"
The Virgin Suicides,Jeffrey Eugenides,3.82,"291,469","['Fiction', 'Classics', 'Contemporary', 'Young Adult', 'Literary Fiction', 'Coming Of Age', 'Novels']"
"I, Claudius (Claudius, #1)",Robert Graves,4.24,"63,482","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Literature', 'Novels', 'Italy']"
The Night Before Christmas,Clement Clarke Moore,4.38,"118,800","['Christmas', 'Childrens', 'Picture Books', 'Classics', 'Poetry', 'Fiction', 'Holiday']"
Geek Love,Katherine Dunn,3.96,"64,328","['Fiction', 'Horror', 'Fantasy', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature']"
The Magus,John Fowles,4.05,"55,999","['Fiction', 'Classics', 'Fantasy', 'Mystery', 'Literature', 'Novels', 'Literary Fiction']"
Nineteen Minutes,Jodi Picoult,4.15,"348,954","['Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Drama', 'Adult Fiction', 'Young Adult']"
A Man Called Ove,Fredrik Backman,4.38,"904,819","['Fiction', 'Contemporary', 'Audiobook', 'Humor', 'Adult', 'Book Club', 'Adult Fiction']"
"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,4.1,"365,818","['Fiction', 'Thriller', 'Military Fiction', 'Suspense', 'Mystery', 'Espionage', 'Adventure']"
I Am Legend and Other Stories,Richard Matheson,4,"127,939","['Horror', 'Fiction', 'Science Fiction', 'Vampires', 'Short Stories', 'Fantasy', 'Post Apocalyptic']"
Cutting for Stone,Abraham   Verghese,4.3,"362,468","['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical']"
Steve Jobs,Walter Isaacson,4.16,"1,186,204","['Biography', 'Nonfiction', 'Business', 'Technology', 'History', 'Biography Memoir', 'Audiobook']"
Jonathan Strange & Mr Norrell,Susanna Clarke,3.85,"227,183","['Fantasy', 'Fiction', 'Historical Fiction', 'Historical', 'Magic', 'Science Fiction Fantasy', 'Alternate History']"
Columbine,Dave Cullen,4.28,"86,628","['Nonfiction', 'True Crime', 'History', 'Crime', 'Audiobook', 'Psychology', 'Journalism']"
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.93,"220,494","['Nonfiction', 'Biography', 'Memoir', 'Politics', 'Autobiography', 'Audiobook', 'Biography Memoir']"
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.06,"207,662","['Nonfiction', 'Psychology', 'Science', 'Medicine', 'Neuroscience', 'Medical', 'Short Stories']"
For the Love of Armin,Michael G. Kramer,4.29,"1,111","['Fiction', 'Adventure', 'Historical Fiction', 'New Adult', 'Young Adult', 'Historical', 'Adult']"
"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.74,"587,278","['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Historical Fiction']"
Revolutionary Road,Richard Yates,3.92,"85,619","['Fiction', 'Classics', 'Historical Fiction', 'Novels', 'American', 'Literature', 'Literary Fiction']"
"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,4.35,"27,352","['Religion', 'Nonfiction', 'Lds', 'Church', 'Spirituality', 'History', 'Historical']"
Coraline,Neil Gaiman,4.1,"629,448","['Fantasy', 'Horror', 'Fiction', 'Young Adult', 'Middle Grade', 'Childrens', 'Audiobook']"
The House of Mirth,Edith Wharton,3.96,"93,612","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'American', 'Novels', 'New York']"
Black Hawk Down: A Story of Modern War,Mark Bowden,4.29,"61,862","['History', 'Nonfiction', 'Military Fiction', 'War', 'Military History', 'Africa', 'Historical']"
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,"427,106","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy']"
The World Without Us,Alan Weisman,3.81,"40,815","['Nonfiction', 'Science', 'Environment', 'Nature', 'History', 'Ecology', 'Post Apocalyptic']"
The Ocean at the End of the Lane,Neil Gaiman,4.01,"579,095","['Fantasy', 'Fiction', 'Magical Realism', 'Horror', 'Audiobook', 'Young Adult', 'Adult']"
The Hours,Michael Cunningham,3.95,"136,355","['Fiction', 'Historical Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Novels', 'Classics']"
The Vagina Monologues,Eve Ensler,3.87,"35,302","['Feminism', 'Nonfiction', 'Plays', 'Drama', 'Womens', 'Theatre', 'Sexuality']"
"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.06,"168,263","['Historical Fiction', 'Mystery', 'Fiction', 'Thriller', 'Crime', 'Historical', 'Mystery Thriller']"
Eating Animals,Jonathan Safran Foer,4.21,"75,708","['Nonfiction', 'Food', 'Philosophy', 'Animals', 'Health', 'Vegan', 'Environment']"
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.98,"104,716","['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Classics', 'Dystopia', 'Fantasy', 'Science Fiction Fantasy']"
Long Walk to Freedom,Nelson Mandela,4.34,"82,482","['Biography', 'Nonfiction', 'History', 'Africa', 'Autobiography', 'Memoir', 'Politics']"
Money Game: A Wealth Manifestation Guide. Level Up Your Mindset Step-By-Step & Create An Abundant Life,Daniel Mangena,4.33,"6,101","['Nonfiction', 'Inspirational', 'How To', 'Education', 'Book Club']"
My Name Is Asher Lev,Chaim Potok,4.23,"39,964","['Fiction', 'Classics', 'Historical Fiction', 'Jewish', 'Religion', 'Judaism', 'Literature']"
"Love Story (Love Story, #1)",Erich Segal,3.64,"58,833","['Romance', 'Fiction', 'Classics', 'Contemporary', 'Chick Lit', 'Love', 'Novels']"
Destiny of the Vampire,Tina Traverse,3.99,73,"['Vampires', 'Suspense', 'Paranormal', 'Action']"
"Alas, Babylon",Pat Frank,4.08,"43,883","['Fiction', 'Science Fiction', 'Post Apocalyptic', 'Classics', 'Dystopia', 'Apocalyptic', 'Survival']"
Exotic Neurotic,Kenneth Jarrett Singleton,3.68,"2,443","['Poetry', 'Contemporary', 'Fiction']"
"The Time Trilogy (Time Quintet, #1-3)",Madeleine L'Engle,4.33,"7,263","['Fantasy', 'Fiction', 'Young Adult', 'Classics', 'Science Fiction', 'Childrens', 'Middle Grade']"
The Death of Ivan Ilych,Leo Tolstoy,4.12,"140,307","['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Philosophy', 'Short Stories']"
The Tale of Despereaux,Kate DiCamillo,4.06,"189,676","['Fantasy', 'Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Animals', 'Adventure']"
"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,"585,745","['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adult', 'Magic', 'Audiobook']"
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.25,"231,143","['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Time Travel']"
Democracy in America,Alexis de Tocqueville,4.04,"24,862","['History', 'Politics', 'Nonfiction', 'Philosophy', 'Classics', 'American History', 'Political Science']"
The Sacred Well Murders,Susan  Rowland,4.3,"5,903","['Fiction', 'Contemporary', 'Novels', 'Mystery', 'Drama', 'Mystery Thriller', 'Epic']"
"Unwind (Unwind, #1)",Neal Shusterman,4.17,"218,303","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Teen']"
Slow Brewing Tea (Slow Brewing Tea Series),Randy Loubier,4.33,"12,479","['Christian', 'Fiction', 'Inspirational', 'Spirituality', 'Christianity', 'Religion', 'Drama']"
"Go, Dog. Go!",P.D. Eastman,4.13,"89,051","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Animals', 'Dogs', 'Kids']"
The Color of Water: A Black Man's Tribute to His White Mother,James   McBride,4.11,"117,594","['Nonfiction', 'Memoir', 'Biography', 'Race', 'African American', 'Biography Memoir', 'School']"
Snow Crash,Neal Stephenson,4.02,"268,462","['Science Fiction', 'Fiction', 'Cyberpunk', 'Fantasy', 'Science Fiction Fantasy', 'Dystopia', 'Novels']"
"1Q84 (1Q84, #1-3)",Haruki Murakami,3.94,"245,259","['Fiction', 'Fantasy', 'Magical Realism', 'Japan', 'Science Fiction', 'Japanese Literature', 'Contemporary']"
John Adams,David McCullough,4.07,"352,458","['History', 'Biography', 'Nonfiction', 'American History', 'Presidents', 'Politics', 'Historical']"
Angelica And Francesca,Kenneth Jarrett Singleton,4.55,370,"['Fiction', 'Plays', 'Contemporary', 'Drama', 'Historical Fiction', 'Suspense', 'Thriller']"
Bleak House,Charles Dickens,4.01,"105,861","['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'Historical Fiction', 'British Literature']"
"Sabriel (Abhorsen,  #1)",Garth Nix,4.16,"201,990","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'High Fantasy', 'Young Adult Fantasy', 'Adventure']"
Lost in Yaba: Down and Out in Laos,Walt Gleeson,3.78,"1,562","['True Crime', 'Asia', 'Nonfiction', 'Crime', 'Travel', 'Memoir', 'Biography']"
Childhood's End,Arthur C. Clarke,4.12,"151,237","['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Aliens', 'Dystopia', 'Fantasy']"
Cold Sassy Tree,Olive Ann Burns,4.02,"101,818","['Fiction', 'Historical Fiction', 'Classics', 'Southern', 'Historical', 'Adult Fiction', 'Coming Of Age']"
The History of Love,Nicole Krauss,3.92,"132,607","['Fiction', 'Historical Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Novels', 'Book Club']"
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,"934,264","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
"Moloka'i (Moloka'i, #1)",Alan Brennert,4.18,"124,716","['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult', 'Adult Fiction', 'Audiobook']"
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.15,"699,769","['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Adventure']"
The Red Badge of Courage,Stephen Crane,3.28,"100,865","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Literature', 'Civil War', 'Historical']"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,"1,031,449","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.05,"425,786","['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Espionage', 'Action', 'Adventure']"
"Crossroads and the Himalayan Crystals (Crossroads, #1)",C. Toni Graham,4.32,"11,818","['Fantasy', 'Fiction', 'Contemporary', 'Epic', 'Young Adult', 'Drama', 'Young Adult Fantasy']"
Light in August,William Faulkner,3.94,"59,757","['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Southern', 'Southern Gothic']"
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,"443,210","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic']"
Battle Royale,Koushun Takami,4.25,"70,126","['Fiction', 'Horror', 'Dystopia', 'Science Fiction', 'Thriller', 'Young Adult', 'Japan']"
Prodigal Summer,Barbara Kingsolver,4.02,"107,663","['Fiction', 'Nature', 'Contemporary', 'Literary Fiction', 'Novels', 'Adult', 'Adult Fiction']"
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.1,"198,283","['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Personal Development', 'Management', 'Psychology']"
"The Borrowers (The Borrowers, #1)",Mary Norton,4.03,"95,308","['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure']"
Adhaata Asao's Liege,Afroz  Alam,4.56,156,['Fantasy']
"Theory of People: Understanding Behaviors, Business, Economics, Feelings, and the Mind",Jakub Lasak,4.11,192,"['Psychology', 'Business', 'Nonfiction', 'Economics', 'Science', 'Sociology', 'Self Help']"
Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,3.54,"2,131","['Nonfiction', 'Contemporary']"
Chronicle of a Death Foretold,Gabriel García Márquez,3.97,"173,706","['Fiction', 'Classics', 'Magical Realism', 'School', 'Literature', 'Spanish Literature', 'Novels']"
"Predator & Prey (The Devenshire Chronicles, #2)",Tom Sechrist,4.54,114,['Fantasy']
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.85,"549,094","['Fiction', 'Chick Lit', 'Contemporary', 'Adult Fiction', 'Southern', 'Adult', 'Historical Fiction']"
Swann’s Way,Marcel Proust,4.14,"56,414","['Classics', 'Fiction', 'France', 'Literature', 'French Literature', 'Novels', '20th Century']"
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.02,"310,609","['Nonfiction', 'Christian', 'Religion', 'Inspirational', 'Memoir', 'Biography', 'Spirituality']"
"The Stones of Andarus (The Devenshire Chronicles, #1)",Tom Sechrist,4.4,131,"['Fantasy', 'Epic Fantasy']"
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,3.81,"66,332","['Fiction', 'Science Fiction', 'Classics', 'Mathematics', 'Fantasy', 'Philosophy', 'Literature']"
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.09,"193,115","['Horror', 'Fantasy', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural', 'Gothic']"
Living in Harmony with the Real World Vol 3: Coping with Loss and Grief,Gary Edward Gedall,4.31,884,"['How To', 'Book Club', 'Education', 'Novels', 'Contemporary', 'Inspirational', 'Drama']"
The Tempest,William Shakespeare,3.79,"199,923","['Classics', 'Plays', 'Drama', 'Fiction', 'Fantasy', 'School', 'Theatre']"
"The Sparrow (The Sparrow, #1)",Mary Doria Russell,4.13,"71,828","['Science Fiction', 'Fiction', 'Fantasy', 'Religion', 'Science Fiction Fantasy', 'Speculative Fiction', 'Aliens']"
What Is the What,Dave Eggers,4.14,"83,352","['Fiction', 'Africa', 'Historical Fiction', 'War', 'Sudan', 'Contemporary', 'Novels']"
Ana Rocha: Shadows of Justice,Ammar Habib,4.23,"5,480","['Thriller', 'Crime', 'Action', 'Police', 'Fiction', 'Mystery']"
"The Secret (The Secret, #1)",Rhonda Byrne,3.72,"446,432","['Self Help', 'Nonfiction', 'Spirituality', 'Psychology', 'Philosophy', 'Personal Development', 'Inspirational']"
North and South,Elizabeth Gaskell,4.15,"162,905","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Historical', '19th Century', 'Victorian']"
A Sand County Almanac and Sketches Here and There,Aldo Leopold,4.29,"30,033","['Nonfiction', 'Nature', 'Science', 'Environment', 'Classics', 'Philosophy', 'Essays']"
The Pandarus File,Kyle Keyes,4.31,"7,148","['Fiction', 'Thriller', 'Mystery', 'Adult', 'Drama', 'Adventure', 'Suspense']"
Nine Stories,J.D. Salinger,4.18,"143,433","['Short Stories', 'Fiction', 'Classics', 'Literature', 'American', '20th Century', 'Literary Fiction']"
The Glass Bead Game,Hermann Hesse,4.11,"36,700","['Fiction', 'Classics', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Science Fiction']"
Honor and Polygamy,Omar Farhad,4.24,156,"['Fiction', 'Politics', 'Polygamy', 'Contemporary']"
The Blind Assassin,Margaret Atwood,3.96,"150,803","['Fiction', 'Historical Fiction', 'Mystery', 'Canada', 'Literary Fiction', 'Classics', 'Contemporary']"
Educated,Tara Westover,4.47,"1,336,130","['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Education']"
Down and Rising,Rohith S. Katbamna,4.71,181,"['Post Apocalyptic', 'Literary Fiction', 'Dystopia', 'Fiction', 'Science Fiction']"
"Thinking, Fast and Slow",Daniel Kahneman,4.18,"452,036","['Nonfiction', 'Psychology', 'Science', 'Self Help', 'Business', 'Economics', 'Personal Development']"
Table 21,T. Rafael Cimino,3.66,432,"['Fiction', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller', 'New York', 'Thriller']"
The Bone Church,Victoria Dougherty,3.77,568,"['Historical Fiction', 'Fiction', 'Thriller', 'Suspense', 'Espionage', 'Historical', 'Mystery']"
Sometimes a Great Notion,Ken Kesey,4.25,"21,705","['Fiction', 'Classics', 'Literature', 'Novels', 'Literary Fiction', 'American', 'Historical Fiction']"
Where the Crawdads Sing,Delia Owens,4.41,"2,521,872","['Fiction', 'Historical Fiction', 'Mystery', 'Audiobook', 'Romance', 'Adult', 'Contemporary']"
"More Than Love, A Husband's Tale",Peter B. Forster,4.3,"5,654","['Nonfiction', 'Book Club', 'Inspirational', 'Education', 'Memoir', 'How To']"
Toe to Toe,Deborah Leblanc,4.22,"5,794","['Fiction', 'Novels', 'Contemporary', 'Epic', 'Drama', 'Fantasy', 'Mystery']"
"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",Kathleen Zamboni McCormick,4.29,"4,138","['Drama', 'Contemporary', 'Novels', 'Fiction']"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.41,"973,931","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.05,"316,712","['Horror', 'Fiction', 'Thriller', 'Crime', 'Mystery', 'Mystery Thriller', 'Suspense']"
"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want (Dale Carnegie Books)",Joe   Hart,4.27,"4,498","['Personal Development', 'Self Help', 'Nonfiction', 'Business', 'Psychology', 'Productivity', 'Philosophy']"
Henry V,William Shakespeare,3.86,"47,882","['Classics', 'Plays', 'Drama', 'Fiction', 'Historical Fiction', 'Theatre', 'Literature']"
Corelli's Mandolin,Louis de Bernières,4.01,"84,133","['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'War', 'Greece', 'Historical']"
"Death Leaves a Shadow (Marlowe Black Mystery, #2)",Gabriel F.W. Koch,4.32,"11,300","['Fiction', 'Drama', 'Contemporary', 'Mystery', 'Mystery Thriller', 'Thriller', 'Suspense']"
The Story of Edgar Sawtelle,David Wroblewski,3.63,"97,055","['Fiction', 'Animals', 'Dogs', 'Adult Fiction', 'Contemporary', 'Coming Of Age', 'Literary Fiction']"
Letters to a Young Poet,Rainer Maria Rilke,4.3,"78,223","['Poetry', 'Classics', 'Nonfiction', 'Philosophy', 'Writing', 'German Literature', 'Literature']"
Birdsong,Sebastian Faulks,4.1,"75,908","['Historical Fiction', 'Fiction', 'War', 'Classics', 'Historical', 'Romance', 'World War I']"
Be More Pirate: Or How to Take On the World and Win,Sam Conniff,3.76,"1,178","['Nonfiction', 'Business', 'Self Help', 'Philosophy', 'Personal Development', 'Leadership', 'Audiobook']"
"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,3.88,"121,794","['Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Middle Grade', 'Childrens', 'School']"
The Right Stuff,Tom Wolfe,4.22,"51,069","['Nonfiction', 'History', 'Space', 'Science', 'Biography', 'American History', 'Classics']"
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,4.26,"195,931","['Graphic Novels', 'Nonfiction', 'Memoir', 'Comics', 'Biography', 'History', 'Iran']"
A Distant Mirror:  The Calamitous 14th Century,Barbara W. Tuchman,4.04,"39,698","['History', 'Nonfiction', 'Medieval', 'European History', 'Medieval History', 'Historical', 'France']"
